설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
연지시장	시장내	전라북도	정읍시	기타	시	Public	16-Mar	전라북도 정읍시 서부로 59		전라북도 정읍시청	063-539-5424	35.573701	126.847101	2018-01-18
국민여가캠핑장	캠핑장내	전라북도	정읍시	관광	시	Public	16-Mar	전라북도 정읍시 내장산로 390		전라북도 정읍시청	063-539-5424	35.524081	126.895701	2018-01-18
명장2동주민센터	명장2동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae108	10-Dec	부산광역시 동래구 명서로 168	부산광역시 동래구 명장2동 326-4	동래구청 재무과	051-550-4171	35.207954	129.102423	2018-02-13
명장1동주민센터	명장1동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae107	10-Dec	부산광역시 동래구 명장로 32	부산광역시 동래구 명장동 133-5	동래구청 재무과	051-550-4171	35.205008	129.104394	2018-02-13
안락2동주민센터	안락2동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae106	10-Dec	부산광역시 동래구 명안로18번길 103	부산광역시 동래구 안락2동 464-38	동래구청 재무과	051-550-4171	35.197712	129.110123	2018-02-13
안락1동주민센터	안락1동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae105	10-Dec	부산광역시 동래구 안연로110번길 9	부산광역시 동래구 안락1동 433-24	동래구청 재무과	051-550-4171	35.197038	129.098591	2018-02-13
사직3동주민센터	사직3동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae104	10-Dec	부산광역시 동래구 아시아드대로154번길 79	부산광역시 동래구 사직3동 123-23	동래구청 재무과	051-550-4171	35.199472	129.069448	2018-02-13
사직2동주민센터	사직2동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae103	10-Dec	부산광역시 동래구 사직북로63번길 22	부산광역시 동래구 사직동 29-8	동래구청 재무과	051-550-4171	35.199256	129.057533	2018-02-13
사직1동주민센터	사직1동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae102	10-Dec	부산광역시 동래구 석사로 19	부산광역시 동래구 사직1동 50-16	동래구청 재무과	051-550-4171	35.199001	129.061961	2018-02-13
온천3동주민센터	온천3동주민센터 민원실	부산광역시	동래구	관공서	KT	dongrae101	10-Dec	부산광역시 동래구 아시아드대로231번길 21	부산광역시 동래구 온천3동 1246-6	동래구청 재무과	051-550-4171	35.204958	129.066322	2018-02-13
어린이교통체험장	교육장 내부	경상남도	사천시	교육시설	서경방송			경상남도 사천시 숲뫼길 68-12		경상남도 사천시청	055-831-2317	34.934568	128.087814	2018-01-01
삼천포전통수산시장	시장 내부 5개소	경상남도	사천시	기타	KT			경상남도 사천시 어시장길 46		경상남도 사천시청	055-831-2317	34.927137	128.069918	2018-01-01
신수도복합터미널	터미널 내부	경상남도	사천시	교통시설	서경방송			경상남도 사천시 신수서길 1-53		경상남도 사천시청	055-831-2317	34.904467	128.072333	2018-01-01
푸르지오버스정류장	GS25 앞 전주	경상남도	사천시	교통시설	서경방송				경상남도 사천시 사남면 월성리 570	경상남도 사천시청	055-831-2317	35.062514	128.065766	2018-01-01
당감1동 행복마을센터	센터	부산광역시	부산진구	지역문화시설	SKT	Public WiFi Free	18-Mar	부산광역시 부산진구 당감로10번길 3	부산광역시 부산진구 당감동 252-104	부산광역시 부산진구청	051-605-4171	35.1627354	129.0400027	2018-02-01
당감1동 작은도서관	도서관	부산광역시	부산진구	지역문화시설	SKT	Public WiFi Free	18-Mar	부산광역시 부산진구 동평로44번길 49-6	부산광역시 부산진구 당감동 375-1	부산광역시 부산진구청	051-605-4171	35.1644597	129.0356431	2018-02-01
개금3동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Jun	부산광역시 부산진구 개금본동로 88	부산광역시 부산진구 개금동 428-8번지	부산광역시 부산진구청	051-605-4171	35.1557519	129.0220242	2018-02-01
개금2동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Jun	부산광역시 부산진구 복지로 93	부산광역시 부산진구 개금동 633-5번지	부산광역시 부산진구청	051-605-4171	35.1449231	129.0195062	2018-02-01
개금2동 행복마을센터	센터	부산광역시	부산진구	지역문화시설	SKT	Public WiFi Free	18-Sep	부산광역시 부산진구 진사로83번길 21	부산광역시 부산진구 개금동 633-35	부산광역시 부산진구청	051-605-4171	35.1442072	129.0171982	2018-02-01
개금1동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Jun	부산광역시 부산진구 가야대로454번길 9	부산광역시 부산진구 개금동 503-18번지	부산광역시 부산진구청	051-605-4171	35.1526863	129.0219201	2018-02-01
가야2동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Jun	부산광역시 부산진구 가야공원로40번길 14	부산광역시 부산진구 가야동 601-7번지	부산광역시 부산진구청	051-605-4171	35.1497583	129.0290073	2018-02-01
가야1동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Jun	부산광역시 부산진구 가야대로572번길 22	부산광역시 부산진구 가야동 296-1번지	부산광역시 부산진구청	051-605-4171	35.1532736	129.0342963	2018-02-01
(사)부산평화시장	시장	부산광역시	부산진구	서민·복지시설	SKT	Public WiFi Free	18-Jun	부산광역시 부산진구 자유평화로 7	부산광역시 부산진구 범천동 839-212번지	부산광역시 부산진구청	051-605-4171	35.1414964	129.0606529	2018-02-01
양정2동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Sep	부산광역시 부산진구 양정로15번길 26	부산광역시 부산진구 양정동 52-2	부산광역시 부산진구청	051-605-4171	35.172859	129.075748	2018-02-01
초읍동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-May	부산광역시 부산진구 새싹로 253	부산광역시 부산진구 초읍동 278-8	부산광역시 부산진구청	051-605-4171	35.1787168	129.0475759	2018-02-01
전포1동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Mar	부산광역시 부산진구 서전로58번길 143	부산광역시 부산진구 전포동 363-63	부산광역시 부산진구청	051-605-4171	35.1513072	129.0664499	2018-02-01
연지동주민센터 작은도서관	도서관	부산광역시	부산진구	지역문화시설	SKT	Public WiFi Free	18-Mar	부산광역시 부산진구 국악로 30	부산광역시 부산진구 연지동 238-9	부산광역시 부산진구청	051-605-4171	35.172799	129.052836	2018-02-01
연지동주민센터	민원실	부산광역시	부산진구	관공서	SKT	Public WiFi Free	18-Jun	부산광역시 부산진구 국악로 30	부산광역시 부산진구 연지동 238-9번지	부산광역시 부산진구청	051-605-4171	35.1727868	129.0528236	2018-02-01
신정상가시장	전체	울산광역시	남구	서민·복지시설	SKT	public wifi free	18-Jan	울산광역시 남구 월평로 47번길 18-1	울산광역시 남구 신정동 618-16	울산광역시 남구청	052-226-5381	35.5432916	129.3102758	2018-01-02
신정5동 주민센터	전체	울산광역시	남구	관공서	SKT	public wifi free	18-Jan	울산광역시 남구 월평로 147	울산광역시 남구 신정동 80-23	울산광역시 남구청	052-226-5381	35.5449004	129.3214248	2018-01-02
광안1동주민센터	민원실	부산광역시	수영구	관공서	SKT	Public WiFi	15-Sep	부산광역시 수영구 광일로14번길 17 (광안동)	부산광역시 수영구 광안동 494-1	부산광역시	051-888-4601	35.162906	129.112495	2018-01-22
광안2동주민센터	민원실	부산광역시	수영구	관공서	SKT	Public WiFi	15-Sep	부산광역시 수영구 광안로16번길 22	부산광역시 수영구 광안동 509-19	부산광역시	051-888-4601	35.155671	129.11376	2018-01-22
광안3동주민센터	민원실	부산광역시	수영구	관공서	SKT	Public WiFi	15-Sep	부산광역시 수영구 망미번영로38번길 103	부산광역시 수영구 광안동 1070-3	부산광역시	051-888-4601	35.167904	129.113577	2018-01-22
광안4동주민센터	민원실	부산광역시	수영구	관공서	SKT	Public WiFi	15-Sep	부산광역시 수영구 호암로9번길 34	부산광역시 수영구 광안동 773-8	부산광역시	051-888-4601	35.155056	129.11141	2018-01-22
광안어패류시장	시장	부산광역시	수영구	관광	SKT	Public WiFi	15-Sep	부산광역시 수영구 민락동 181-72	부산광역시 수영구 민락동 181-72번지	부산광역시	051-888-4601	35.155495	129.124623	2018-01-22
금련산청소년수련원	수련원	부산광역시	수영구	서민·복지시설	SKT	Public WiFi	13-Oct	부산광역시 수영구 황령산로 156	부산광역시 수영구 광안4동 산60-3	부산광역시	051-888-4601	35.154551	129.101869	2018-01-22
남천동 도서관	도서관	부산광역시	수영구	지역문화시설	SKT	Public WiFi	12-Oct	부산광역시 수영구 남천서로 33	부산광역시 수영구 남천동 489-33	부산광역시	051-888-4601	35.14451	129.105197	2018-01-22
망미도서관 분관	1층	부산광역시	수영구	지역문화시설	SKT	Public WiFi	12-Oct	부산광역시 수영구 연수로315번길 23	부산광역시 수영구 망미동 640-15	부산광역시	051-888-4601	35.173438	129.104945	2018-01-22
망미도서관 분관	2층	부산광역시	수영구	지역문화시설	SKT	Public WiFi	12-Oct	부산광역시 수영구 연수로315번길 23	부산광역시 수영구 망미동 640-15	부산광역시	051-888-4601	35.173438	129.104945	2018-01-22
망미도서관 분관	3층	부산광역시	수영구	지역문화시설	SKT	Public WiFi	12-Oct	부산광역시 수영구 연수로315번길 23	부산광역시 수영구 망미동 640-15	부산광역시	051-888-4601	35.173438	129.104945	2018-01-22
망미도서관 분관	4층	부산광역시	수영구	지역문화시설	SKT	Public WiFi	12-Oct	부산광역시 수영구 연수로315번길 23	부산광역시 수영구 망미동 640-15	부산광역시	051-888-4601	35.173438	129.104945	2018-01-22
망미도서관 분관	5층	부산광역시	수영구	지역문화시설	SKT	Public WiFi	12-Oct	부산광역시 수영구 연수로315번길 23	부산광역시 수영구 망미동 640-15	부산광역시	051-888-4601	35.173438	129.104945	2018-01-22
장남감도서관	1층	경상남도	사천시	지역문화시설	서경방송			경상남도 사천시 무산로 21		경상남도 사천시청	055-831-2317	34.969482	128.065139	2018-01-01
청소년쉼터	옥외 전봇대	경상남도	사천시	지역문화시설	서경방송			경상남도 사천시 동금2길 20-20		경상남도 사천시청	055-831-2317	34.931317	128.0769374	2018-01-01
사천농협 축동지점	옥내 환풍기옆	경상남도	사천시	기타	서경방송			경상남도 사천시 길평길 25		경상남도 사천시청	055-831-2317	35.108157	128.087949	2018-01-01
청소년문화의집	옥내 에어컨 옆 천장	경상남도	사천시	지역문화시설	서경방송			경상남도 사천시 문선4길 23(벌리동)		경상남도 사천시청	055-831-2317	35.080723	128.091602	2018-01-01
청소년문화센터	옥내 천장	경상남도	사천시	지역문화시설	서경방송			경상남도 사천시 문선4길 23(벌리동)		경상남도 사천시청	055-831-2317	34.935363	128.082614	2018-01-01
사남우체국	옥내	경상남도	사천시	관공서	서경방송			경상남도 사천시 사남면 진삼로 1130		경상남도 사천시청	055-831-2317	35.054517	128.076066	2018-01-01
문화예술회관 카페테리어	1층 벽면	경상남도	사천시	지역문화시설	서경방송			경상남도 사천시 삼천포대교로 471(동림동)		경상남도 사천시청	055-831-2317	34.939875	128.075514	2018-01-01
완사역	옥외 전봇대	경상남도	사천시	교통시설	서경방송			경상남도 사천시 곤명면 경서대로 3435		경상남도 사천시청	055-831-2317	35.134316	127.977426	2018-01-01
비토해양낚시공원	옥외 2곳	경상남도	사천시	관광	서경방송				경상남도 사천시 서포면 비토리 산47-9	경상남도 사천시청	055-831-2317	34.962692	127.971482	2018-01-01
사천대교노을소공원	옥외 전봇대	경상남도	사천시	관광	서경방송				경상남도 사천시 용현면 주문리 880-1	경상남도 사천시청	055-831-2317	34.997251	128.038873	2018-01-01
사천시유도체육관	옥내 벽면	경상남도	사천시	편의시설	서경방송			경상남도 사천시 주공1길 8-24(벌리동)		경상남도 사천시청	055-831-2317	34.940205	128.089342	2018-01-01
항공우주테마공원	옥외 2곳	경상남도	사천시	관광	서경방송				경상남도 사천시 정동면 예수리 550-10	경상남도 사천시청	055-831-2317	35.069819	128.083401	2018-01-01
노산공원	옥외 배전반옆	경상남도	사천시	관광	서경방송			경상남도 사천시 노산공원길 72(서금동)		경상남도 사천시청	055-831-2317	34.924517	128.0744304	2018-01-01
통창공원	옥외	경상남도	사천시	관광	서경방송			경상남도 사천시 동금로 27(동금동)		경상남도 사천시청	055-831-2317	34.929691	128.079777	2018-01-01
용두공원	옥외 2곳	경상남도	사천시	관광	서경방송			경상남도 사천시 와룡길 21(용강동)		경상남도 사천시청	055-831-2317	34.957571	128.091871	2018-01-01
초전공원	옥외 가로등	경상남도	사천시	관광	서경방송			경상남도 사천시 외국기업로 107		경상남도 사천시청	055-831-2317	35.060729	128.063125	2018-01-01
조명군총	옥외	경상남도	사천시	관광	서경방송				경상남도 사천시 용현면 선진리 402	경상남도 사천시청	055-831-2317	35.041454	128.047901	2018-01-01
남일대해수욕장	옥외 전봇대	경상남도	사천시	관광	서경방송			경상남도 사천시 모례2길 11-19		경상남도 사천시청	055-831-2317	34.927171	128.096059	2018-01-01
대포어촌체험마을	옥외	경상남도	사천시	관광	서경방송			경상남도 사천시 대포길 255(대포동)		경상남도 사천시청	055-831-2317	34.990236	128.040896	2018-01-01
사천대교	대교공원내 옥외	경상남도	사천시	관광	서경방송			경상남도 사천시 서포면 자구로 15		경상남도 사천시청	055-831-2317	35.004803	128.018506	2018-01-01
초양도 휴게소	휴게소 보안등	경상남도	사천시	관광	서경방송			경상남도 사천시 삼천포대교로 112(늑도동)		경상남도 사천시청	055-831-2317	34.925292	128.0455139	2018-01-01
삼천포대교 옆 군영숲	가로등	경상남도	사천시	관광	서경방송			경상남도 사천시 군영숲길 71		경상남도 사천시청	055-831-2317	34.960481	128.053104	2018-01-01
용궁수산시장외부	6번출입구 부근	경상남도	사천시	기타	서경방송			경상남도 사천시 어시장길 64(동동)		경상남도 사천시청	055-831-2317	34.927466	128.071142	2018-01-01
시청앞 광장	시청앞 전봇대	경상남도	사천시	기타	서경방송			경상남도 사천시 용현면 시청로 77		경상남도 사천시청	055-831-2317	35.003747	128.062759	2018-01-01
사천·정동 거리(사천읍)	사천읍사무소~새마을금고~사천시장~사천농협 간 거리(8곳)	경상남도	사천시	기타	서경방송			경상남도 사천시 사천읍 평화1길 40		경상남도 사천시청	055-831-2317	35.083102	128.088525	2018-01-01
사천·정동거리(정동면)	정동면 시내거리 8곳	경상남도	사천시	기타	서경방송			경상남도 사천시 사천읍 진삼로 1389		경상남도 사천시청	055-831-2317	35.075886	128.084072	2018-01-01
벌리주공 거리	삼천포종합운동장 인근 거리(7곳)	경상남도	사천시	기타	서경방송			경상남도 사천시 주공로 47(벌리동) 부근		경상남도 사천시청	055-831-2317	34.942594	128.086725	2018-01-01
사천읍사무소	"벽면, 천장 2곳"	경상남도	사천시	관공서	서경방송			경상남도 사천시 사천읍 무산로 21		경상남도 사천시청	055-831-2317	35.087617	128.088115	2018-01-01
정동면사무소	천장 3곳	경상남도	사천시	관공서	서경방송			경상남도 사천시 정동면 상정대로 2540-39		경상남도 사천시청	055-831-2317	35.056049	128.123893	2018-01-01
사남면사무소	천장 3곳	경상남도	사천시	관공서	서경방송			경상남도 사천시 사남면 진삼로 1108		경상남도 사천시청	055-831-2317	35.052539	128.075299	2018-01-01
용현면사무소	천장 3곳	경상남도	사천시	관공서	KT			경상남도 사천시 용현면 진삼로 637		경상남도 사천시청	055-831-2317	35.013393	128.061325	2018-01-01
축동면사무소	"벽면, 천장 3곳"	경상남도	사천시	관공서	KT			경상남도 사천시 축동면 길평1길 20		경상남도 사천시청	055-831-2317	35.107111	128.088395	2018-01-01
곤양면사무소	"벽면, 천장 3곳"	경상남도	사천시	관공서	KT			경상남도 사천시 곤양면 성내공원길 11		경상남도 사천시청	055-831-2317	35.057527	127.959721	2018-01-01
곤명면사무소	"벽면, 천장 3곳"	경상남도	사천시	관공서	KT			경상남도 사천시 곤명면 원전새길 64		경상남도 사천시청	055-831-2317	35.111963	127.941659	2018-01-01
서포면사무소	"벽면, 천장 3곳"	경상남도	사천시	관공서	KT			경상남도 사천시 서포면 서포로 276		경상남도 사천시청	055-831-2317	35.007377	127.976997	2018-01-01
동서동사무소	"벽면, 천장 2곳"	경상남도	사천시	관공서	KT			경상남도 사천시 수남길 102(서동)		경상남도 사천시청	055-831-2317	34.928535	128.068728	2018-01-01
선구동사무소	"벽면, 천장 2곳"	경상남도	사천시	관공서	KT			경상남도 사천시 각산로 22(선구동)		경상남도 사천시청	055-831-2317	34.929775	128.0721347	2018-01-01
동서금동사무소	"벽면, 천장 2곳"	경상남도	사천시	관공서	KT			경상남도 사천시 동금로 27(동금동)		경상남도 사천시청	055-831-2317	34.931003	128.078768	2018-01-01
벌용동사무소	"벽면, 천장 2곳"	경상남도	사천시	관공서	KT			경상남도 사천시 벌용길 60(벌리동)		경상남도 사천시청	055-831-2317	34.943692	128.079784	2018-01-01
남양동사무소	"벽면, 천장 2곳"	경상남도	사천시	관공서	KT			경상남도 사천시 임내안길 65		경상남도 사천시청	055-831-2317	34.970431	128.063122	2018-01-01
향촌동사무소	"벽면, 천장 2곳"	경상남도	사천시	관공서	KT			경상남도 사천시 향촌5길 28		경상남도 사천시청	055-831-2317	34.933856	128.093318	2018-01-01
곤양시장	옥외 기둥 2곳	경상남도	사천시	기타	서경방송			경상남도 사천시 곤양면 곤양면 남산로 65		경상남도 사천시청	055-831-2317	35.056968	127.962697	2018-01-01
사천읍시장	옥외 기둥 3곳	경상남도	사천시	기타	서경방송			경상남도 사천시 시장1길 16		경상남도 사천시청	055-831-2317	35.085061	128.089158	2018-01-01
삼천포중앙시장	"옥외 기둥, 전봇대 8곳"	경상남도	사천시	기타	서경방송			경상남도 사천시 중앙시장1길 12-39		경상남도 사천시청	055-831-2317	34.929604	128.076532	2018-01-01
서포시장	옥외 기둥 2곳	경상남도	사천시	기타	서경방송			경상남도 사천시 서포면 자구로 473		경상남도 사천시청	055-831-2317	35.007083	127.977979	2018-01-01
완사시장	옥외 전봇대 2곳	경상남도	사천시	기타	서경방송			경상남도 사천시 곤명면 완사2길 12		경상남도 사천시청	055-831-2317	35.13121829	127.9763439	2018-01-01
용궁수산시장외부	전봇대 1곳	경상남도	사천시	기타	서경방송			경상남도 사천시 어시장길 64(동동)		경상남도 사천시청	055-831-2317	34.927054	128.072809	2018-01-01
용두공원	옥외 기둥 3곳	경상남도	사천시	관광	서경방송			경상남도 사천시 와룡길 21(용강동)		경상남도 사천시청	055-831-2317	34.927054	128.072809	2018-01-01
망미도서관 분관	6층	부산광역시	수영구	지역문화시설	SKT	Public WiFi	12-Oct	부산광역시 수영구 연수로315번길 23	부산광역시 수영구 망미동 640-15	부산광역시	051-888-4601	35.173438	129.104945	2018-01-22
민락골목시장	시장	부산광역시	수영구	편의시설	SKT	Public WiFi	15-Sep	부산광역시 수영구 광안해변로277번길 28-8	부산광역시 수영구 민락동 190-1	부산광역시	051-888-4601	35.157116	129.124288	2018-01-22
민락동주민센터	민원실	부산광역시	수영구	관공서	SKT	Public WiFi	15-Sep	부산광역시 수영구 광안해변로295번길 20	부산광역시 수영구 민락동 34-10	부산광역시	051-888-4601	35.157284	129.125403	2018-01-22
민락씨랜드회센터	회센터	부산광역시	수영구	편의시설	SKT	Public WiFi	15-Sep	부산광역시 수영구 광안해변로 299 (민락동)	부산광역시 수영구 민락동 181-228	부산광역시	051-888-4601	35.15685	129.126102	2018-01-22
민락어패류시장	시장	부산광역시	수영구	편의시설	SKT	Public WiFi	15-Sep	부산광역시 수영구 광안해변로 278	부산광역시 수영구 민락동 181-8번지	부산광역시	051-888-4601	35.155675	129.124443	2018-01-22
부산시민천문대	천문대	부산광역시	수영구	관광	SKT	Public WiFi	13-Oct	부산광역시 수영구 황령산로 156	부산광역시 수영구 광안4동 산60-3	부산광역시	051-888-4601	35.155155	129.100569	2018-01-22
수영구도서관	도서관	부산광역시	수영구	지역문화시설	SKT	Public WiFi	15-Sep	부산광역시 수영구 남천서로 33	부산광역시 수영구 남천동 489-33번지	부산광역시	051-888-4601	35.144457	129.105238	2018-01-22
수영구자원봉사센터	센터	부산광역시	수영구	서민·복지시설	SKT	Public WiFi	15-Sep	부산광역시 수영구 수영로 614	부산광역시 수영구 광안동 118-3	부산광역시	051-888-4601	35.16054	129.113983	2018-01-22
수영사적공원	공원	부산광역시	수영구	관광	SKT	Public WiFi	15-Sep	부산광역시 수영구 수영성로 43	부산광역시 수영구 수영동 229-1	부산광역시	051-888-4601	35.170839	129.114391	2018-01-22
광안리 해수욕장	광안동 196-2	부산광역시	수영구	관광	SKT	Public WiFi	17-Sep	부산광역시 수영구 광안해변로 207	부산광역시 수영구 광안동 196-2	부산광역시	051-888-4601	35.152664	129.11748	2018-01-22
신수도보건진료소	1층 진료대기실 천정	경상남도	사천시	관공서	KT			경상남도 사천시 신수서길 1-9		경상남도 사천시청	055-831-2317	34.9027165	128.0749004	2018-01-01
신수출장소	1층 중앙 대기실 천정	경상남도	사천시	관공서	KT			경상남도 사천시 신수서길 1-48		경상남도 사천시청	055-831-2317	34.9034394	128.0744715	2018-01-01
사천체육관	1층 체육관 내부 실내형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 사천읍 운동장길 7		경상남도 사천시청	055-831-2317	35.0888867	128.0931623	2018-01-01
삼천포체육관	1층 체육관 내부 실내형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 주공로 32-1		경상남도 사천시청	055-831-2317	34.9429247	128.0876863	2018-01-01
사주체육관	1층 체육관 내부 실내형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 사천읍 진삼로 1279-32		경상남도 사천시청	055-831-2317	35.0697083	128.077625	2018-01-01
사천국민체육센터	1층 체육관 내부 실내형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 용현면 대밭담로 27-21		경상남도 사천시청	055-831-2317	35.0090166	128.0592677	2018-01-01
삼천포실내수영장로비	1층 실영장 로비 내부 실내형	경상남도	사천시	편의시설	구내회선			경상남도 사천시 주공로 32-2		경상남도 사천시청	055-831-2317	34.9422764	128.0903169	2018-01-01
삼천포실내수영장사무실	1층 사무실 내부 실내형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 주공로 32-2		경상남도 사천시청	055-831-2317	34.9422764	128.0903169	2018-01-01
초양도휴게소	관광안내소 외벽 실외 안테나	경상남도	사천시	편의시설	서경방송			경상남도 사천시 늑도동 475		경상남도 사천시청	055-831-2317	34.9252098	128.0453662	2018-01-01
사천대교휴게소	대교 전망대 외벽 실외 안테나	경상남도	사천시	편의시설	서경방송			경상남도 사천시  서포면 자혜리 17-1		경상남도 사천시청	055-831-2317	35.0040677	128.0182842	2018-01-01
만남의광장관광안내소	관광안내소 외벽 실외 안테나	경상남도	사천시	관광	서경방송			경상남도 사천시 축동면 서삼로 1742		경상남도 사천시청	055-831-2317	35.1087085	128.0857346	2018-01-01
대포어촌체험마을	관광안내소 외벽 실외 안테나	경상남도	사천시	관광	서경방송			경상남도 사천시 대포길 255		경상남도 사천시청	055-831-2317	34.9900854	128.0406751	2018-01-01
반룡공원	화장실 외벽 실외 안테나	경상남도	사천시	편의시설	서경방송			경상남도 사천시 정동면 예수리 406		경상남도 사천시청	055-831-2317	35.0706024	128.0843996	2018-01-01
대교공원관광안내소	관광안내소 외벽 실외형	경상남도	사천시	관광	서경방송			경상남도 사천시 대방동 681-9		경상남도 사천시청	055-831-2317	34.9325272	128.0521804	2018-01-01
선진리성관리안내소	관광안내소 옆 전주  실외형	경상남도	사천시	관광	서경방송			경상남도 사천시 용현면 선진공원길 678		경상남도 사천시청	055-831-2317	35.0438333	128.0428028	2018-01-01
다솔사관광안내소	관광안내소 옆 전주  실외형	경상남도	사천시	관광	서경방송			경상남도 사천시 어시장길 64		경상남도 사천시청	055-831-2317	34.927435	128.0717639	2018-01-01
사천읍성	읍성 옆  실외형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 사천읍 수양공원길 52		경상남도 사천시청	055-831-2317	35.0836304	128.0936019	2018-01-01
사천종합운동장	관람석 옆 전주  실외형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 사천읍 구압두문로 85		경상남도 사천시청	055-831-2317	35.089906	128.0944406	2018-01-01
용두공원	주차장 옆 전주  실외형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 용강동 337-2		경상남도 사천시청	055-831-2317	34.9573585	128.0915622	2018-01-01
초전공원	매점 옆 전주  실외형	경상남도	사천시	편의시설	서경방송			경상남도 사천시 사남면 외국기업로 107		경상남도 사천시청	055-831-2317	35.0611315	128.0620484	2018-01-01
곤양보건지소	1층 복도중앙 천정	경상남도	사천시	관공서	KT			경상남도 사천시 곤양면 서정리 998-1		경상남도 사천시청	055-831-2317	35.0555699	127.9589967	2018-01-01
곤양버스터미널	1층 대기실 천정노출	경상남도	사천시	교통시설	KT			경상남도 사천시 곤양면 성내로 2		경상남도 사천시청	055-831-2317	35.0574051	127.9608831	2018-01-01
축동복지회관	1층 복도중앙 천정  2층 복도중앙 천정	경상남도	사천시	서민·복지시설	KT			경상남도 사천시 축동면 사다리 33		경상남도 사천시청	055-831-2317	35.1096784	128.0851865	2018-01-01
사천시 농업인 복지회관	1층 복도중앙 천정  2층 대강당 내 천정	경상남도	사천시	서민·복지시설	KT			경상남도 사천시 사천읍 사주리 154-2		경상남도 사천시청	055-831-2317	35.0713322	128.079166	2018-01-01
박재삼문학관	1층 전시장 입구 벽면  3층 어린이 도서관 중앙천정	경상남도	사천시	지역문화시설	KT			경상남도 사천시 서금동 101-67		경상남도 사천시청	055-831-2317	34.9258116	128.0744054	2018-01-01
삼천포종합사회복지관	1층 출입문 앞 로비 천정노출  2층 복도중앙 천정노출  3층 강당 내 천정노출	경상남도	사천시	서민·복지시설	KT			경상남도 사천시 죽림동 581-25		경상남도 사천시청	055-831-2317	34.9692644	128.0651276	2018-01-01
다문화가족지원센터	2층 강당 에어컨 위 천정  3층 학습실 앞 복도천정  3층 사무실 에어컨 위 천정	경상남도	사천시	서민·복지시설	KT			경상남도 사천시 동금동 405-6		경상남도 사천시청	055-831-2317	34.9316736	128.0766756	2018-01-01
삼천포시외버스터미널	2층 사무실 뒤편 옥상벽면 함체  2층 사무실 중앙 대들보 벽면  1층 승강대기실 티비옆 벽면	경상남도	사천시	교통시설	KT			경상남도 사천시 벌리동 69		경상남도 사천시청	055-831-2317	34.939388	128.0805547	2018-01-01
사천시외버스터미널	매표창구	경상남도	사천시	교통시설	KT			경상남도 사천시 사천읍 수석리 270-1		경상남도 사천시청	055-831-2317	35.0822446	128.0865277	2018-01-01
녹차원	"문화센터 1층 안내실 앞 후문 옆, 문화센터 2층 큰방입구 창가벽면, 체험장 1층 로비 중앙천정, 체험장 2층 강당 중앙천정"	경상남도	사천시	서민·복지시설	KT			경상남도 사천시 곤명면 금성들길 55		경상남도 사천시청	055-831-2317	35.1409772	127.9688413	2018-01-01
신정4동 주민센터	전체	울산광역시	남구	관공서	SKT	public wifi free	18-Jan	울산광역시 남구 수암로 64번길 16	울산광역시 남구 신정동 880-9	울산광역시 남구청	052-226-5381	35.5293994	129.3144525	2018-01-02
신정3동 주민센터	전체	울산광역시	남구	관공서	SKT	public wifi free	18-Jan	울산광역시 남구 월평로 103번길 18	울산광역시 남구 신정동 294-4	울산광역시 남구청	052-226-5381	35.5450475	129.3163808	2018-01-02
신정2동 주민센터	전체	울산광역시	남구	관공서	SKT	public wifi free	18-Jan	울산광역시 남구 봉월로 20번길 9	울산광역시 남구 신정동 1210-9	울산광역시 남구청	052-226-5381	35.5346671	129.3078652	2018-01-02
신정1동 주민센터	전체	울산광역시	남구	관공서	SKT	public wifi free	18-Jan	울산광역시 남구 월평로 9번길 7	울산광역시 남구 신정동 639-2	울산광역시 남구청	052-226-5381	35.5413238	129.3065596	2018-01-02
